Museum_Name,Museum_ID,State
"AKRON FOSSILS & SCIENCE CENTER",8403900262,OH
"AKRON HISTORICAL SOCIETY",8401900145,IA
"AKTA LAKOTA MUSEUM",8404600046,SD
"AKUS GALLERY",8409502670,CT
"AKWESASNE CULTURAL CENTER",8403601342,NY
"AL'S AUTOBODY & ARBORETUM",8409501923,WI
"ALABAMA AGRICULTURAL MUSEUM",8409500238,AL
"ALABAMA ARCHAEOLOGICAL SOCIETY",8409501196,AL
"ALABAMA BENCH AND BAR HISTORICAL SOCIETY",8400100433,AL
"ALABAMA CATTLEMAN'S ASSOCIATION MUSEUM",8409501296,AL
"ALABAMA CENTER FOR AMERICAN HISTORY",8400100155,AL
"ALABAMA CENTER FOR TRADITIONAL CULTURE",8409501297,AL
"ALABAMA CENTER OF MILITARY HISTORY",8400100238,AL
"ALABAMA CITY HISTORICAL ASSOCIATION",8400100153,AL
"ALABAMA COMPANY JAMESTOWNE SOCIETY",8400100380,AL
"ALABAMA CONSTITUTION VILLAGE",8400100083,AL
"ALABAMA CONSTITUTION VILLAGE FOUNDATION",8400100381,AL
"ALABAMA DEPARTMENT OF ARCHIVES AND HISTORY",8400100428,AL
"ALABAMA FAN CLUB AND MUSEUM",8409501299,AL
"ALABAMA FOLK ART MUSEUM",8400100086,AL
"ALABAMA GOSPEL MUSIC CULTURAL ARTS CENTER",8400100144,AL
"ALABAMA GOVERNORS MANSION",8400100395,AL
"ALABAMA HISTORIC IRONWORKS COMMISSION",8400100253,AL
"ALABAMA HISTORICAL RADIO SOCIETY",8400100231,AL
"ALABAMA HUMANITIES FOUNDATION",8409501300,AL
"ALABAMA INDIAN AFFAIRS COMMISSION",8409501301,AL
"ALABAMA JAZZ HALL OF FAME",8400100298,AL
"ALABAMA JUDICIAL DEPARTMENT MUSEUM",8409501302,AL
"ALABAMA LABOR ARCHIVES AND HISTORY",8400100208,AL
"ALABAMA LIGHTHOUSE ASSOCIATION",8400100192,AL
"ALABAMA MENS HALL OF FAME",8400100371,AL
"ALABAMA MINING MUSEUM",8400100286,AL
